elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6599933,Salyan,LADA (VAZ),2106,1998,Sedan,Sarı,1.5 L,72 a.g.,Benzin,359 000 km,Mexaniki,Arxa,Xeyr,4 000 AZN
6599930,Bakı,Kia,Rio,2008,Sedan,Qara,1.4 L,97 a.g.,Benzin,210 000 km,Avtomat,Ön,Xeyr,11 000 AZN
6599929,Bakı,Opel,Astra,2008,Universal,Qara,1.3 L,90 a.g.,Dizel,161 000 km,Mexaniki,Ön,Xeyr,12 900 AZN
6599928,Şəki,LADA (VAZ),2107,2001,Sedan,Bənövşəyi,1.6 L,75 a.g.,Benzin,31 522 km,Mexaniki,Arxa,Xeyr,4 400 AZN
6599902,Bakı,Ford,Fusion,2017,Sedan,Gümüşü,1.5 L,181 a.g.,Benzin,71 000 km,Avtomat,Tam,Xeyr,22 100 AZN
6599938,Bakı,Ford,Focus,2017,Sedan,Qızılı,1.0 L,125 a.g.,Benzin,115 000 km,Avtomat,Ön,Xeyr,16 500 AZN
6599919,Bakı,Toyota,Mark II,1995,Sedan,Boz,2.5 L,94 a.g.,Dizel,250 000 km,Avtomat,Arxa,Xeyr,12 900 AZN
6599934,Sumqayıt,Mercedes,C 240,1997,Sedan,Qara,2.4 L,170 a.g.,Benzin,408 000 km,Avtomat,Arxa,Xeyr,12 700 AZN
6599918,Bakı,Hyundai,Elantra,2015,Sedan,Göy,1.8 L,150 a.g.,Benzin,67 000 km,Avtomat,Ön,Xeyr,23 400 AZN
6599922,Bakı,Kia,Rio,2006,Sedan,Tünd qırmızı,1.5 L,110 a.g.,Dizel,242 000 km,Avtomat,Ön,Xeyr,13 300 AZN
6599916,Bakı,Mercedes,C 250,2008,Sedan,Qara,2.5 L,204 a.g.,Benzin,244 500 km,Avtomat,Arxa,Xeyr,19 000 AZN
6599914,Şirvan,Mercedes,C 180,1996,Sedan,Ağ,1.8 L,122 a.g.,Benzin,366 666 km,Avtomat,Arxa,Xeyr,8 600 AZN
6599903,Sumqayıt,Nissan,Teana,2005,Sedan,Gümüşü,2.3 L,173 a.g.,Benzin,289 000 km,Avtomat,Ön,Xeyr,9 300 AZN
6599899,Şəmkir,LADA (VAZ),2107,2011,Sedan,Qara,1.6 L,75 a.g.,Benzin,82 741 km,Mexaniki,Arxa,Xeyr,7 300 AZN
6599898,Bakı,Opel,Astra,1995,Hetçbek / Liftbek,Göy,1.6 L,101 a.g.,Benzin,490 130 km,Avtomat,Ön,Xeyr,5 450 AZN
