elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6604711,Bakı,Mercedes,190,1990,Sedan,Yaş Asfalt,2.0 L,122 a.g.,Benzin,366 500 km,Avtomat,Arxa,Xeyr,4 950 AZN
6454735,Bakı,Nissan,Altima,2018,Sedan,Ağ,2.5 L,182 a.g.,Benzin,50 000 km,Avtomat,Ön,Xeyr,27 900 AZN
6528352,Bakı,Nissan,Patrol,2014,Offroader / SUV,Qara,5.6 L,405 a.g.,Benzin,112 000 km,Avtomat,Tam,Xeyr,43 800 $
6314608,Bakı,Toyota,Camry,2014,Sedan,Ağ,2.5 L,181 a.g.,Benzin,147 000 km,Avtomat,Ön,Xeyr,35 900 AZN
6604673,Bakı,Mercedes,GLE 350,2017,Offroader / SUV,Boz,3.5 L,306 a.g.,Benzin,61 000 km,Avtomat,Tam,Xeyr,49 000 $
6562517,Bakı,BMW,X5,2016,Offroader / SUV,Gümüşü,3.0 L,306 a.g.,Plug-in Hibrid,129 000 km,Avtomat,Tam,Xeyr,45 900 $
6443837,Bakı,BMW,X6,2011,Offroader / SUV,Göy,4.4 L,407 a.g.,Benzin,187 000 km,Avtomat,Tam,Xeyr,23 900 $
6601540,Bakı,LADA (VAZ),2106,2007,Sedan,Göy,1.6 L,75 a.g.,Benzin,970 000 km,Mexaniki,Arxa,Xeyr,5 900 AZN
6548244,Bakı,BMW,528,2012,Sedan,Gümüşü,2.0 L,245 a.g.,Benzin,245 000 km,Avtomat,Arxa,Xeyr,19 800 $
6604701,Bakı,Nissan,Sentra,2015,Sedan,Yaş Asfalt,1.8 L,130 a.g.,Benzin,87 000 km,Avtomat,Ön,Xeyr,21 500 AZN
6578108,Bakı,Mercedes,E 230,1997,Sedan,Göy,2.3 L,150 a.g.,Benzin,357 864 km,Avtomat,Arxa,Xeyr,11 500 AZN
6577921,Bakı,LADA (VAZ),2107,2009,Sedan,Ağ,1.5 L,65 a.g.,Benzin,47 731 km,Mexaniki,Arxa,Xeyr,6 650 AZN
6545066,Bakı,Hyundai,Grandeur,2018,Sedan,Qara,2.4 L,179 a.g.,Benzin,17 000 km,Avtomat,Ön,Xeyr,27 900 $
6604698,Bakı,BMW,525,1999,Sedan,Qara,2.5 L,192 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,8 400 AZN
6604704,Bakı,BMW,528,2013,Sedan,Göy,2.0 L,245 a.g.,Benzin,115 000 km,Avtomat,Tam,Xeyr,19 500 $
6604705,Sumqayıt,Mercedes,E 230,1997,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,11 700 AZN
6604693,Bakı,Nissan,Altima,2013,Sedan,Ağ,2.5 L,182 a.g.,Benzin,70 000 km,Avtomat,Ön,Xeyr,29 000 AZN
6548600,Quba,Mercedes,E 320,2002,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,282 000 km,Avtomat,Arxa,Xeyr,17 700 AZN
6604679,Bakı,Mercedes,E 220,2008,Sedan,Yaş Asfalt,2.2 L,170 a.g.,Dizel,251 000 km,Avtomat,Arxa,Xeyr,24 000 AZN
6604690,Qusar,LADA (VAZ),Priora,2015,Hetçbek / Liftbek,Ağ,1.6 L,106 a.g.,Benzin,175 000 km,Mexaniki,Ön,Xeyr,13 700 AZN
6592344,Bakı,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 532 km,Avtomat,Ön,Xeyr,21 300 AZN
6507760,Bakı,Infiniti,FX37,2013,Offroader / SUV,Qara,3.7 L,333 a.g.,Benzin,110 000 km,Avtomat,Tam,Xeyr,23 300 $
6604688,Bakı,Opel,Astra,2007,Universal,Gümüşü,1.3 L,90 a.g.,Dizel,241 500 km,Mexaniki,Ön,Xeyr,11 200 AZN
6604686,Bakı,Kia,Rio,2007,Sedan,Ağ,1.4 L,97 a.g.,Benzin,267 000 km,Avtomat,Ön,Xeyr,11 900 AZN
6446064,Bakı,Land Rover,RR Sport,2017,Offroader / SUV,Boz,3.0 L,340 a.g.,Benzin,87 000 km,Avtomat,Tam,Xeyr,69 900 $
6604711,Bakı,Mercedes,190,1990,Sedan,Yaş Asfalt,2.0 L,122 a.g.,Benzin,366 500 km,Avtomat,Arxa,Xeyr,4 950 AZN
6454735,Bakı,Nissan,Altima,2018,Sedan,Ağ,2.5 L,182 a.g.,Benzin,50 000 km,Avtomat,Ön,Xeyr,27 900 AZN
6528352,Bakı,Nissan,Patrol,2014,Offroader / SUV,Qara,5.6 L,405 a.g.,Benzin,112 000 km,Avtomat,Tam,Xeyr,43 800 $
6314608,Bakı,Toyota,Camry,2014,Sedan,Ağ,2.5 L,181 a.g.,Benzin,147 000 km,Avtomat,Ön,Xeyr,35 900 AZN
6604673,Bakı,Mercedes,GLE 350,2017,Offroader / SUV,Boz,3.5 L,306 a.g.,Benzin,61 000 km,Avtomat,Tam,Xeyr,49 000 $
6562517,Bakı,BMW,X5,2016,Offroader / SUV,Gümüşü,3.0 L,306 a.g.,Plug-in Hibrid,129 000 km,Avtomat,Tam,Xeyr,45 900 $
6443837,Bakı,BMW,X6,2011,Offroader / SUV,Göy,4.4 L,407 a.g.,Benzin,187 000 km,Avtomat,Tam,Xeyr,23 900 $
6601540,Bakı,LADA (VAZ),2106,2007,Sedan,Göy,1.6 L,75 a.g.,Benzin,970 000 km,Mexaniki,Arxa,Xeyr,5 900 AZN
