elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6600669,Bakı,Peugeot,307,2002,Hetçbek / Liftbek,Gümüşü,2.0 L,137 a.g.,Benzin,270 000 km,Avtomat,Ön,Xeyr,5 400 AZN
6588734,Bakı,BMW,525,1997,Sedan,Gümüşü,2.5 L,192 a.g.,Benzin,389 654 km,Avtomat,Arxa,Xeyr,8 500 AZN
6600667,Kürdəmir,Tofas,Sahin,2004,Sedan,Qızılı,1.6 L,92 a.g.,Benzin,145 000 km,Mexaniki,Arxa,Xeyr,5 200 AZN
6600665,Bakı,Mazda,6,2015,Sedan,Gümüşü,2.5 L,192 a.g.,Benzin,170 000 km,Avtomat,Ön,Xeyr,19 500 $
6600663,Bakı,Volkswagen,Jetta,2017,Sedan,Ağ,1.4 L,150 a.g.,Benzin,101 000 km,Avtomat,Ön,Xeyr,22 000 AZN
6586409,Bakı,Hyundai,Sonata,2015,Sedan,Qara,2.4 L,178 a.g.,Benzin,120 000 km,Avtomat,Ön,Xeyr,30 400 AZN
6600657,Lənkəran,Volkswagen,Jetta,2012,Sedan,Ağ,2.0 L,115 a.g.,Benzin,209 215 km,Avtomat,Ön,Xeyr,15 700 AZN
6600654,Bakı,Kia,Sorento,2015,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,119 000 km,Avtomat,Tam,Xeyr,45 000 AZN
6600625,Bakı,LADA (VAZ),2103,1982,Sedan,Göy,1.6 L,75 a.g.,Benzin,95 000 km,Mexaniki,Arxa,Xeyr,3 700 AZN
6600650,Sumqayıt,Opel,Astra,2000,Universal,Qara,1.6 L,101 a.g.,Benzin,354 000 km,Mexaniki,Ön,Xeyr,8 300 AZN
6283290,Göyçay,Chevrolet,Malibu,2017,Sedan,Yaş Asfalt,1.5 L,163 a.g.,Benzin,142 000 km,Avtomat,Ön,Xeyr,24 500 AZN
